SOURCE,TARGET,TYPE,WEIGHT
0,0,undirected,1.0000000000000002
0,1,undirected,0.5705915613283762
0,2,undirected,0.6601101052859123
0,3,undirected,0.7356837762668342
0,4,undirected,0.6986226145626423
0,5,undirected,0.7749642672831081
0,6,undirected,0.7025211457635132
0,7,undirected,0.6085147212304494
0,8,undirected,0.6657703811608757
0,9,undirected,0.8013102419028546
0,10,undirected,0.7798487932404503
0,11,undirected,0.5900415822372489
0,12,undirected,0.8028619934899358
0,13,undirected,0.7150681664460786
0,14,undirected,0.7276475379092519
0,15,undirected,0.629301987141217
0,16,undirected,0.6273386854035504
0,17,undirected,0.800789465446023
0,18,undirected,0.7115456839956941
0,19,undirected,0.7567876880834425
0,20,undirected,0.605792009134689
0,21,undirected,0.6717743281002041
0,22,undirected,0.7031270162747733
0,23,undirected,0.9990998818625418
0,24,undirected,0.6445274597779023
0,25,undirected,0.7084692447303365
0,26,undirected,0.5281153373071089
0,27,undirected,0.7496098347155926
0,28,undirected,0.90557867094301
0,29,undirected,0.7589709620309201
0,30,undirected,0.8501233222248877
1,1,undirected,0.9999999999999998
1,2,undirected,0.9569566952045664
1,3,undirected,0.9366959917268166
1,4,undirected,0.905613513216974
1,5,undirected,0.8730974978532198
1,6,undirected,0.8818922077810883
1,7,undirected,0.9928189174363544
1,8,undirected,0.9389140564973656
1,9,undirected,0.8136859798538315
1,10,undirected,0.8296946589179106
1,11,undirected,0.990768150397221
1,12,undirected,0.8245123597795776
1,13,undirected,0.9234626916152489
1,14,undirected,0.9301536515114338
1,15,undirected,0.9940396799074114
1,16,undirected,0.9944443932086968
1,17,undirected,0.8373025999103285
1,18,undirected,0.9094202489913348
1,19,undirected,0.8192839297348311
1,20,undirected,0.9934792182798632
1,21,undirected,0.9702071422225887
1,22,undirected,0.9514819965953644
1,23,undirected,0.5762717553982342
1,24,undirected,0.9643825136320732
1,25,undirected,0.9111538069099384
1,26,undirected,0.9438207718209564
1,27,undirected,0.7217668114140895
1,28,undirected,0.6329074860534881
1,29,undirected,0.91829865749985
1,30,undirected,0.8684107551136415
2,2,undirected,1.0000000000000002
2,3,undirected,0.9910689744984236
2,4,undirected,0.9886926006125056
2,5,undirected,0.969706032965064
2,6,undirected,0.9795026376007796
2,7,undirected,0.9661190699234692
2,8,undirected,0.9979667950310364
2,9,undirected,0.9366637043113756
2,10,undirected,0.9478744961688996
2,11,undirected,0.9499585950799188
2,12,undirected,0.942203719043301
2,13,undirected,0.9928012114424904
2,14,undirected,0.991842782138085
2,15,undirected,0.9696110122945796
2,16,undirected,0.9700505620115674
2,17,undirected,0.9497620045338232
2,18,undirected,0.9882888272895284
2,19,undirected,0.944826459662502
2,20,undirected,0.9532829920739722
2,21,undirected,0.9923863126852704
2,22,undirected,0.995705699629103
2,23,undirected,0.6668012264428971
2,24,undirected,0.8946732742637798
2,25,undirected,0.9586567698848456
2,26,undirected,0.8572868891244538
2,27,undirected,0.6739844218883267
2,28,undirected,0.7332814075666664
2,29,undirected,0.9873396212657036
2,30,undirected,0.9460870483858054
3,3,undirected,1.0
3,4,undirected,0.9895824615094494
3,5,undirected,0.9857857733602562
3,6,undirected,0.9804872907352684
3,7,undirected,0.953792511812516
3,8,undirected,0.9915619620188156
3,9,undirected,0.9610393541451892
3,10,undirected,0.9652319594726052
3,11,undirected,0.9383138939513436
3,12,undirected,0.9662336275130324
3,13,undirected,0.9966987328084228
3,14,undirected,0.9987040595645876
3,15,undirected,0.9606208644874455
3,16,undirected,0.961639856589165
3,17,undirected,0.9711739767410832
3,18,undirected,0.9877705621893909
3,19,undirected,0.9573900869977436
3,20,undirected,0.9444555669438888
3,21,undirected,0.9877092242232118
3,22,undirected,0.9974485901448488
3,23,undirected,0.742540481567052
3,24,undirected,0.8932779830468047
3,25,undirected,0.965048712764988
3,26,undirected,0.8513940356632244
3,27,undirected,0.7272268276300113
3,28,undirected,0.8156701703270339
3,29,undirected,0.9971070583603272
3,30,undirected,0.9702777859991216
4,4,undirected,0.9999999999999998
4,5,undirected,0.9911769681950336
4,6,undirected,0.9978216198814768
4,7,undirected,0.9212324231088695
4,8,undirected,0.9956284615395004
4,9,undirected,0.9739184239427752
4,10,undirected,0.9810306493658484
4,11,undirected,0.8992900520454254
4,12,undirected,0.9762716026293172
4,13,undirected,0.997733146731244
4,14,undirected,0.993561904456642
4,15,undirected,0.9273636328089588
4,16,undirected,0.9294728821553396
4,17,undirected,0.9805803738403144
4,18,undirected,0.9969724439347584
4,19,undirected,0.980749754542086
4,20,undirected,0.9053956433056518
4,21,undirected,0.970923591709111
4,22,undirected,0.9877678896895616
4,23,undirected,0.7059036346383666
4,24,undirected,0.831682796174627
4,25,undirected,0.9625202798435823
4,26,undirected,0.786336242865709
4,27,undirected,0.6396885673720683
4,28,undirected,0.7777446423210868
4,29,undirected,0.9935291396230536
4,30,undirected,0.9592899490391708
5,5,undirected,0.9999999999999996
5,6,undirected,0.9923539263480824
5,7,undirected,0.8934815601500433
5,8,undirected,0.9785486405654028
5,9,undirected,0.9932449241227131
5,10,undirected,0.9952095582537236
5,11,undirected,0.868947849431275
5,12,undirected,0.995262805715266
5,13,undirected,0.9901269200338646
5,14,undirected,0.9882866642685354
5,15,undirected,0.9036634287463514
5,16,undirected,0.9051043583143056
5,17,undirected,0.9971153142741912
5,18,undirected,0.991619802198879
5,19,undirected,0.9906966455950322
5,20,undirected,0.8781499441305587
